RepaymentID,LoanID,Month,ActualRepayment,LoanAmount,ScheduledRepayment,LoanBalanceStart,LoanBalanceEnd,InterestPayment,is_type1_default
544.0,1,1,2399.54,52000.0,2399.54,52000.0,50033.79,433.33,False
1313.0,1,2,2399.54,52000.0,2399.54,50033.79,48051.2,416.95,False
2551.0,1,3,2399.54,52000.0,2399.54,48051.2,46052.09,400.43,False
3636.0,1,4,2399.54,52000.0,2399.54,46052.09,44036.32,383.77,False
4300.0,1,5,2399.54,52000.0,2399.54,44036.32,42003.74,366.97,False
5847.0,1,6,2399.54,52000.0,2399.54,42003.74,39954.24,350.03,False
6362.0,1,7,2399.54,52000.0,2399.54,39954.24,37887.65,332.95,False
7520.0,1,8,2399.54,52000.0,2399.54,37887.65,35803.84,315.73,False
8699.0,1,9,2399.54,52000.0,2399.54,35803.84,33702.66,298.37,False
9438.0,1,10,2399.54,52000.0,2399.54,33702.66,31583.98,280.86,False
10053.0,1,11,2399.54,52000.0,2399.54,31583.98,29447.64,263.2,False
11306.0,1,12,2399.54,52000.0,2399.54,29447.64,27293.5,245.4,False
707.0,2,1,5306.67,115000.0,5306.67,115000.0,110651.66,958.33,False
1869.0,2,2,5306.67,115000.0,5306.67,110651.66,106267.09,922.1,False
2084.0,2,3,5306.67,115000.0,5306.67,106267.09,101845.98,885.56,False
3035.0,2,4,5306.67,115000.0,5306.67,101845.98,97388.03,848.72,False
4686.0,2,5,5306.67,115000.0,5306.67,97388.03,92892.92,811.57,False
5597.0,2,6,5306.67,115000.0,5306.67,92892.92,88360.36,774.11,False
6659.0,2,7,5306.67,115000.0,5306.67,88360.36,83790.03,736.34,False
7434.0,2,8,5306.67,115000.0,5306.67,83790.03,79181.61,698.25,False
8478.0,2,9,5306.67,115000.0,5306.67,79181.61,74534.78,659.85,False
9839.0,2,10,5306.67,115000.0,5306.67,74534.78,69849.24,621.12,False
10701.0,2,11,5306.67,115000.0,5306.67,69849.24,65124.64,582.08,False
11995.0,2,12,5306.67,115000.0,5306.67,65124.64,60360.68,542.71,False
98.0,3,1,4199.19,91000.0,4199.19,91000.0,87559.14,758.33,False
1893.0,3,2,4199.19,91000.0,4199.19,87559.14,84089.61,729.66,False
2137.0,3,3,4199.19,91000.0,4199.19,84089.61,80591.17,700.75,False
3174.0,3,4,8398.38,91000.0,4199.19,80591.17,72864.38,671.59,False
4495.0,3,5,8398.38,91000.0,4199.19,72864.38,65073.21,607.2,False
5041.0,3,6,4199.19,91000.0,4199.19,65073.21,61416.29,542.28,False
6512.0,3,7,4199.19,91000.0,4199.19,61416.29,57728.91,511.8,False
7716.0,3,8,4199.19,91000.0,4199.19,57728.91,54010.79,481.07,False
8263.0,3,9,4199.19,91000.0,4199.19,54010.79,50261.69,450.09,False
9117.0,3,10,4199.19,91000.0,4199.19,50261.69,46481.35,418.85,False
10991.0,3,11,4199.19,91000.0,4199.19,46481.35,42669.5,387.34,False
11553.0,3,12,4199.19,91000.0,4199.19,42669.5,38825.89,355.58,False
539.0,4,1,3553.16,77000.0,3553.16,77000.0,74088.51,641.67,False
1959.0,4,2,3553.16,77000.0,3553.16,74088.51,71152.75,617.4,False
2052.0,4,3,3553.16,77000.0,3553.16,71152.75,68192.53,592.94,False
3559.0,4,4,3553.16,77000.0,3553.16,68192.53,65207.64,568.27,False
4396.0,4,5,3553.16,77000.0,3553.16,65207.64,62197.88,543.4,False
5409.0,4,6,3553.16,77000.0,3553.16,62197.88,59163.03,518.32,False
6983.0,4,7,3553.16,77000.0,3553.16,59163.03,56102.9,493.03,False
7897.0,4,8,3553.16,77000.0,3553.16,56102.9,53017.26,467.52,False
8731.0,4,9,3553.16,77000.0,3553.16,53017.26,49905.91,441.81,False
9442.0,4,10,3553.16,77000.0,3553.16,49905.91,46768.64,415.88,False
10193.0,4,11,3553.16,77000.0,3553.16,46768.64,43605.22,389.74,False
11598.0,4,12,3553.16,77000.0,3553.16,43605.22,40415.43,363.38,False
430.0,5,1,1338.2,29000.0,1338.2,29000.0,27903.47,241.67,False
1974.0,5,2,1338.2,29000.0,1338.2,27903.47,26797.8,232.53,False
2474.0,5,3,1338.2,29000.0,1338.2,26797.8,25682.91,223.31,False
3178.0,5,4,1338.2,29000.0,1338.2,25682.91,24558.73,214.02,False
4919.0,5,5,2676.4,29000.0,1338.2,24558.73,22086.99,204.66,False
5175.0,5,6,1338.2,29000.0,1338.2,22086.99,20932.85,184.06,False
6368.0,5,7,1338.2,29000.0,1338.2,20932.85,19769.09,174.44,False
7537.0,5,8,2676.4,29000.0,1338.2,19769.09,17257.43,164.74,False
8546.0,5,9,1338.2,29000.0,1338.2,17257.43,16063.04,143.81,False
9180.0,5,10,1338.2,29000.0,1338.2,16063.04,14858.7,133.86,False
10489.0,5,11,1338.2,29000.0,1338.2,14858.7,13644.33,123.82,False
11668.0,5,12,1338.2,29000.0,1338.2,13644.33,12419.83,113.7,False
577.0,6,1,1338.2,29000.0,1338.2,29000.0,27903.47,241.67,False
1554.0,6,2,1338.2,29000.0,1338.2,27903.47,26797.8,232.53,False
2856.0,6,3,1338.2,29000.0,1338.2,26797.8,25682.91,223.31,False
3450.0,6,4,1338.2,29000.0,1338.2,25682.91,24558.73,214.02,False
4824.0,6,5,1338.2,29000.0,1338.2,24558.73,23425.19,204.66,False
5723.0,6,6,1338.2,29000.0,1338.2,23425.19,22282.2,195.21,False
6542.0,6,7,1338.2,29000.0,1338.2,22282.2,21129.69,185.69,False
7744.0,6,8,1338.2,29000.0,1338.2,21129.69,19967.57,176.08,False
8890.0,6,9,1338.2,29000.0,1338.2,19967.57,18795.76,166.4,False
9491.0,6,10,1338.2,29000.0,1338.2,18795.76,17614.19,156.63,False
